Source,Target,Type,Label,Weight
Paper:2605.00408,Method:legs,Directed,paper_proposes_method,1.0
Method:tensorf-ds,Dataset:llff,Directed,method_uses_dataset,1.0
Paper:2606.02639,Method:aret,Directed,paper_proposes_method,1.0
Paper:2604.02120,Method:gemm-gs,Directed,paper_proposes_method,1.0
Paper:2603.22851,Method:uniquer,Directed,paper_proposes_method,1.0
Paper:2603.02801,Method:r3gw,Directed,paper_proposes_method,1.0
Paper:2603.05932,Method:ftsplat,Directed,paper_proposes_method,1.0
Paper:2603.02986,Method:virgi,Directed,paper_proposes_method,1.0
Paper:2603.12766,Method:amg,Directed,paper_proposes_method,1.0
Paper:2602.08029,Method:pi-def,Directed,paper_proposes_method,1.0
Paper:1912.07109,Method:sdfdiff,Directed,paper_proposes_method,1.0
Paper:2211.14108,Method:3ddesigner,Directed,paper_proposes_method,1.0
Paper:2111.09996,Method:lolnerf,Directed,paper_proposes_method,1.0
Paper:2312.09228,Method:3dgs-avatar,Directed,paper_proposes_method,1.0
Paper:2511.06408,Method:vdnerf,Directed,paper_proposes_method,1.0
Method:unic-lift,Dataset:scannet,Directed,method_uses_dataset,1.0
Paper:2606.01367,Method:actmvs,Directed,paper_proposes_method,1.0
Method:actmvs,Dataset:replica,Directed,method_uses_dataset,1.0
Method:trisplat,Dataset:realestate10k,Directed,method_uses_dataset,1.0
Paper:2605.26629,Method:delowlightsplat,Directed,paper_proposes_method,1.0
Paper:2605.10873,Method:cadbench,Directed,paper_proposes_method,1.0
Method:cadbench,Dataset:abc,Directed,method_uses_dataset,1.0
Method:cadbench,Dataset:objaverse,Directed,method_uses_dataset,1.0
Method:aacvp-mvsnet,Dataset:dtu,Directed,method_uses_dataset,1.0
Method:aacvp-mvsnet,Dataset:blendedmvs,Directed,method_uses_dataset,1.0
Paper:2112.12761,Method:banmo,Directed,paper_proposes_method,1.0
Method:padmix,Dataset:pix3d,Directed,method_uses_dataset,1.0
Paper:2211.11704,Method:eslam,Directed,paper_proposes_method,1.0
Method:eslam,Dataset:replica,Directed,method_uses_dataset,1.0
Method:eslam,Dataset:scannet,Directed,method_uses_dataset,1.0
Paper:2211.06897,Method:fires,Directed,paper_proposes_method,1.0
Paper:2212.01672,Method:marf,Directed,paper_proposes_method,1.0
Paper:2312.14132,Method:dust3r,Directed,paper_proposes_method,1.0
Paper:2312.06946,Method:waterhe-nerf,Directed,paper_proposes_method,1.0
Paper:2312.04803,Method:supernormal,Directed,paper_proposes_method,1.0
Paper:2412.09573,Method:freesplatter,Directed,paper_proposes_method,1.0
Method:ranger,Dataset:hm3d,Directed,method_uses_dataset,1.0
Paper:2606.08284,Method:g2g,Directed,paper_proposes_method,1.0
Paper:2606.07419,Method:dispose,Directed,paper_proposes_method,1.0
Paper:2604.19025,Method:roomrecon,Directed,paper_proposes_method,1.0
Paper:2605.01852,Method:dp-sfm,Directed,paper_proposes_method,1.0
Paper:2606.03748,Method:musgd,Directed,paper_proposes_method,1.0
Paper:2606.03748,Method:stal,Directed,paper_proposes_method,1.0
Paper:2605.30561,Method:vlm3,Directed,paper_proposes_method,1.0
Paper:2605.28257,Method:morpheus,Directed,paper_proposes_method,1.0
Paper:2605.20889,Method:mapmonoego,Directed,paper_proposes_method,1.0
Paper:2605.20388,Method:trajpilot,Directed,paper_proposes_method,1.0
