Id,Label,Type,citation_count,repo_stars,year
Method:back-projection,Method:back-projection,Method,,,
Method:coarse-to-fine optimization method for coordinate-based models,Method:coarse-to-fine optimization method for coordinate-based models,Method,,,
Method:deformable nerf models,Method:deformable nerf models,Method,,,
Method:deformable neural radiance fields,Method:deformable neural radiance fields,Method,,,
Method:differentiable volumetric rendering,Method:differentiable volumetric rendering,Method,,,
Method:direct voxel grid optimization,Method:direct voxel grid optimization,Method,,,
Method:dust3r,Method:dust3r,Method,,,
Method:elastic regularization for nerf deformation fields,Method:elastic regularization for nerf deformation fields,Method,,,
Method:fully convolutional model based on dilated temporal convolutions,Method:fully convolutional model based on dilated temporal convolutions,Method,,,
Method:nerfies,Method:nerfies,Method,,,
Method:occupancy networks,Method:occupancy networks,Method,,,
Method:openpose (cmu-pose),Method:openpose (cmu-pose),Method,,,
Method:part affinity fields (pafs),Method:part affinity fields (pafs),Method,,,
Method:pifu,Method:pifu,Method,,,
Method:pixel-aligned implicit function,Method:pixel-aligned implicit function,Method,,,
Method:plenoxels,Method:plenoxels,Method,,,
Method:superglue,Method:superglue,Method,,,
Method:vibe,Method:vibe,Method,,,
Method:videopose3d,Method:videopose3d,Method,,,
Paper:1804.04610,Paper:1804.04610,Paper,,,2018
Paper:1807.07796,Paper:1807.07796,Paper,171,,2018
Paper:1807.09259,Paper:1807.09259,Paper,88,,2018
Paper:1808.01525,Paper:1808.01525,Paper,85,,2018
Paper:1808.05942,Paper:1808.05942,Paper,525,,2018
Paper:1808.07182,Paper:1808.07182,Paper,121,,2018
Paper:1808.08319,Paper:1808.08319,Paper,531,,2018
Paper:1808.08378,Paper:1808.08378,Paper,341,,2018
Paper:1809.01995,Paper:1809.01995,Paper,220,,2018
Paper:1809.10790,Paper:1809.10790,Paper,749,,2018
Paper:1810.01849,Paper:1810.01849,Paper,229,,2018
Paper:1811.05419,Paper:1811.05419,Paper,280,,2018
Paper:1811.11742,Paper:1811.11742,Paper,1243,,2018
Paper:1811.12004,Paper:1811.12004,Paper,336,,2018
Paper:1812.01024,Paper:1812.01024,Paper,729,,2018
Paper:1812.02541,Paper:1812.02541,Paper,313,,2018
Paper:1812.03245,Paper:1812.03245,Paper,31,,2018
Paper:1812.03595,Paper:1812.03595,Paper,179,,2018
Paper:1812.03828,Paper:1812.03828,Paper,3395,,2018
Paper:1812.08008,Paper:1812.08008,Paper,5572,,2018
Paper:1812.11166,Paper:1812.11166,Paper,,,2018
Paper:1812.11788,Paper:1812.11788,Paper,1054,,2018
Paper:1901.00049,Paper:1901.00049,Paper,186,,2018
Paper:1901.05103,Paper:1901.05103,Paper,,,2019
Paper:1902.01275,Paper:1902.01275,Paper,595,,2019
Paper:1905.02082,Paper:1905.02082,Paper,,,2019
Paper:1905.03561,Paper:1905.03561,Paper,,,2019
Paper:1905.05172,Paper:1905.05172,Paper,1422,,2019
Paper:1908.07906,Paper:1908.07906,Paper,283,,2019
Paper:1909.00392,Paper:1909.00392,Paper,93,,2019
Paper:1909.08605,Paper:1909.08605,Paper,314,,2019
Paper:1910.02527,Paper:1910.02527,Paper,500,,2019
Paper:1910.03695,Paper:1910.03695,Paper,27,,2019
Paper:1911.02050,Paper:1911.02050,Paper,257,,2019
Paper:1911.04231,Paper:1911.04231,Paper,578,,2019
Paper:1911.05063,Paper:1911.05063,Paper,152,,2019
Paper:1911.07524,Paper:1911.07524,Paper,244,,2019
Paper:1911.08324,Paper:1911.08324,Paper,222,,2019
Paper:1911.09204,Paper:1911.09204,Paper,12,,2019
Paper:1911.09231,Paper:1911.09231,Paper,123,,2019
Paper:1911.10414,Paper:1911.10414,Paper,592,,2019
Paper:1911.11763,Paper:1911.11763,Paper,2746,,2019
Paper:1911.12012,Paper:1911.12012,Paper,,,2019
Paper:1911.13225,Paper:1911.13225,Paper,,,2019
Paper:1912.00416,Paper:1912.00416,Paper,158,,2019
Paper:1912.04363,Paper:1912.04363,Paper,1,,2019
Paper:1912.04663,Paper:1912.04663,Paper,1,,2019
Paper:1912.05656,Paper:1912.05656,Paper,1141,,2019
Paper:1912.07109,Paper:1912.07109,Paper,260,,2019
Paper:1912.07372,Paper:1912.07372,Paper,1107,,2019
Paper:1912.08568,Paper:1912.08568,Paper,2,,2019
Paper:1912.09057,Paper:1912.09057,Paper,19,,2019
Paper:1912.11888,Paper:1912.11888,Paper,18,,2019
Paper:1912.11913,Paper:1912.11913,Paper,259,,2019
Paper:2008.04451,Paper:2008.04451,Paper,253,,2020
Paper:2008.11822,Paper:2008.11822,Paper,26,,2020
Paper:2009.00348,Paper:2009.00348,Paper,11,,2020
Paper:2009.06549,Paper:2009.06549,Paper,41,,2020
Paper:2009.09633,Paper:2009.09633,Paper,397,,2020
Paper:2010.06218,Paper:2010.06218,Paper,12,,2020
Paper:2010.06449,Paper:2010.06449,Paper,183,,2020
Paper:2010.07492,Paper:2010.07492,Paper,,,2020
Paper:2010.10959,Paper:2010.10959,Paper,12,,2020
