:ID,name,type,:LABEL,citation_count:long,reference_count:long,year:long,repo_stargazers_count:long,repo_forks_count:long,repo_open_issues_count:long,repo_updated_at,repo_created_at,title
5444,5444,,Entity,,,,,,,,,
Dataset:7-scenes,Dataset:7-scenes,Dataset,Dataset,,,,,,,,,
Dataset:abc,Dataset:abc,Dataset,Dataset,,,,,,,,,
Dataset:argoverse,Dataset:argoverse,Dataset,Dataset,,,,,,,,,
Dataset:blendedmvs,Dataset:blendedmvs,Dataset,Dataset,,,,,,,,,
Dataset:cityscapes,Dataset:cityscapes,Dataset,Dataset,,,,,,,,,
Dataset:co3d,Dataset:co3d,Dataset,Dataset,,,,,,,,,
Dataset:coco,Dataset:coco,Dataset,Dataset,,,,,,,,,
Dataset:dtu,Dataset:dtu,Dataset,Dataset,,,,,,,,,
Dataset:eth3d,Dataset:eth3d,Dataset,Dataset,,,,,,,,,
Dataset:euroc,Dataset:euroc,Dataset,Dataset,,,,,,,,,
Dataset:google,Dataset:google,Dataset,Dataset,,,,,,,,,
Dataset:gso,Dataset:gso,Dataset,Dataset,,,,,,,,,
Dataset:hm3d,Dataset:hm3d,Dataset,Dataset,,,,,,,,,
Dataset:hypersim,Dataset:hypersim,Dataset,Dataset,,,,,,,,,
Dataset:imagenet,Dataset:imagenet,Dataset,Dataset,,,,,,,,,
Dataset:kitti,Dataset:kitti,Dataset,Dataset,,,,,,,,,
Dataset:kitti,Dataset:kitti,Dataset,Dataset,,,,,,,,,
Dataset:kitti-360,Dataset:kitti-360,Dataset,Dataset,,,,,,,,,
Dataset:llff,Dataset:llff,Dataset,Dataset,,,,,,,,,
Dataset:lvis,Dataset:lvis,Dataset,Dataset,,,,,,,,,
Dataset:matterport3d,Dataset:matterport3d,Dataset,Dataset,,,,,,,,,
Dataset:megadepth,Dataset:megadepth,Dataset,Dataset,,,,,,,,,
Dataset:middlebury,Dataset:middlebury,Dataset,Dataset,,,,,,,,,
Dataset:mip-nerf,Dataset:mip-nerf,Dataset,Dataset,,,,,,,,,
Dataset:modelnet40,Dataset:modelnet40,Dataset,Dataset,,,,,,,,,
Dataset:nuscenes,Dataset:nuscenes,Dataset,Dataset,,,,,,,,,
Dataset:objaverse,Dataset:objaverse,Dataset,Dataset,,,,,,,,,
Dataset:omniobject3d,Dataset:omniobject3d,Dataset,Dataset,,,,,,,,,
Dataset:pix3d,Dataset:pix3d,Dataset,Dataset,,,,,,,,,
Dataset:realestate10k,Dataset:realestate10k,Dataset,Dataset,,,,,,,,,
Dataset:replica,Dataset:replica,Dataset,Dataset,,,,,,,,,
Dataset:sapien,Dataset:sapien,Dataset,Dataset,,,,,,,,,
Dataset:scannet,Dataset:scannet,Dataset,Dataset,,,,,,,,,
Dataset:scannet++,Dataset:scannet++,Dataset,Dataset,,,,,,,,,
Dataset:semantickitti,Dataset:semantickitti,Dataset,Dataset,,,,,,,,,
Dataset:shapenet,Dataset:shapenet,Dataset,Dataset,,,,,,,,,
Dataset:shapenetcore,Dataset:shapenetcore,Dataset,Dataset,,,,,,,,,
Dataset:sun3d,Dataset:sun3d,Dataset,Dataset,,,,,,,,,
Dataset:tanks,Dataset:tanks,Dataset,Dataset,,,,,,,,,
Dataset:tum,Dataset:tum,Dataset,Dataset,,,,,,,,,
Dataset:waymo,Dataset:waymo,Dataset,Dataset,,,,,,,,,
Method:2d,Method:2d,Method,Method,,,,,,,,,
Method:2d,Method:2d,Method,Method,,,,,,,,,
Method:2d,Method:2d,Method,Method,,,,,,,,,
Method:2d,Method:2d,Method,Method,,,,,,,,,
Method:2d,Method:2d,Method,Method,,,,,,,,,
Method:2d-3d,Method:2d-3d,Method,Method,,,,,,,,,
Method:2d-3d,Method:2d-3d,Method,Method,,,,,,,,,
Method:2d-guided,Method:2d-guided,Method,Method,,,,,,,,,
Method:2d-induced,Method:2d-induced,Method,Method,,,,,,,,,
Method:2d-to-3d,Method:2d-to-3d,Method,Method,,,,,,,,,
Method:360-dfpe,Method:360-dfpe,Method,Method,,,,,,,,,
Method:360°,Method:360°,Method,Method,,,,,,,,,
Method:3D,Method:3D,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d,Method:3d,Method,Method,,,,,,,,,
Method:3d-aware,Method:3d-aware,Method,Method,,,,,,,,,
Method:3d-aware,Method:3d-aware,Method,Method,,,,,,,,,
Method:3d-aware,Method:3d-aware,Method,Method,,,,,,,,,
Method:3d-aware,Method:3d-aware,Method,Method,,,,,,,,,
Method:3d-aware,Method:3d-aware,Method,Method,,,,,,,,,
Method:3d-future,Method:3d-future,Method,Method,,,,,,,,,
Method:3d-gmnet,Method:3d-gmnet,Method,Method,,,,,,,,,
Method:3d-guided,Method:3d-guided,Method,Method,,,,,,,,,
Method:3d-lmnet,Method:3d-lmnet,Method,Method,,,,,,,,,
Method:3d-ovs,Method:3d-ovs,Method,Method,,,,,,,,,
Method:3d-pose-baseline,Method:3d-pose-baseline,Method,Method,,,,,,,,,
Method:3d-to-events,Method:3d-to-events,Method,Method,,,,,,,,,
Method:3d_pose_baseline_pytorch,Method:3d_pose_baseline_pytorch,Method,Method,,,,,,,,,
Method:3da-gan,Method:3da-gan,Method,Method,,,,,,,,,
Method:3ddesigner,Method:3ddesigner,Method,Method,,,,,,,,,
Method:3dfusion,Method:3dfusion,Method,Method,,,,,,,,,
Method:3dgs-avatar,Method:3dgs-avatar,Method,Method,,,,,,,,,
Method:3dgs.cpp,Method:3dgs.cpp,Method,Method,,,,,,,,,
Method:3dof,Method:3dof,Method,Method,,,,,,,,,
Method:3dp3,Method:3dp3,Method,Method,,,,,,,,,
Method:3dphysvideo,Method:3dphysvideo,Method,Method,,,,,,,,,
Method:3dreflecnet,Method:3dreflecnet,Method,Method,,,,,,,,,
Method:3dturboquant,Method:3dturboquant,Method,Method,,,,,,,,,
Method:3infusion,Method:3infusion,Method,Method,,,,,,,,,
Method:3vp,Method:3vp,Method,Method,,,,,,,,,
Method:4D,Method:4D,Method,Method,,,,,,,,,
Method:4d,Method:4d,Method,Method,,,,,,,,,
Method:4d,Method:4d,Method,Method,,,,,,,,,
Method:4d,Method:4d,Method,Method,,,,,,,,,
Method:4d,Method:4d,Method,Method,,,,,,,,,
