:START_ID,:END_ID,:TYPE,doc_id,source,confidence:float
Paper:2605.00408,Method:legs,paper_proposes_method,arxiv:2605.00408,llm,1.0
Method:legs,Dataset:mip-nerf 360,method_uses_dataset,arxiv:2605.00408,llm,1.0
Paper:2604.27702,Method:inter- and intra-ray transformer,paper_proposes_method,arxiv:2604.27702,llm,1.0
Paper:2604.21631,Method:dualsplat,paper_proposes_method,arxiv:2604.21631,llm,1.0
Paper:2604.19133,Method:baltic,paper_proposes_method,arxiv:2604.19133,llm,1.0
Paper:2605.25345,Method:dp-ges,paper_proposes_method,arxiv:2605.25345,llm,1.0
Paper:2605.24304,Method:artsplat,paper_proposes_method,arxiv:2605.24304,llm,1.0
Paper:2605.24304,Method:cross-state attention (csa),paper_proposes_method,arxiv:2605.24304,llm,1.0
Paper:2605.20733,Method:sketch2minsurf,paper_proposes_method,arxiv:2605.20733,llm,1.0
Paper:2605.20733,Method:sketch2minsurf structural loss (s2ms-loss),paper_proposes_method,arxiv:2605.20733,llm,1.0
Paper:2605.19649,Method:nerf-based augmentation,paper_proposes_method,arxiv:2605.19649,llm,1.0
Paper:2605.12919,Method:guardmarkgs,paper_proposes_method,arxiv:2605.12919,llm,1.0
Method:guardmarkgs,Dataset:mip-nerf 360,method_uses_dataset,arxiv:2605.12919,llm,1.0
Paper:2605.12437,Method:dynamic mv dataset framework,paper_proposes_method,arxiv:2605.12437,llm,1.0
Paper:2605.10360,Method:voxgs-dsdf,paper_proposes_method,arxiv:2605.10360,llm,1.0
Paper:2605.10174,Method:bathyfacto,paper_proposes_method,arxiv:2605.10174,llm,1.0
Paper:2605.09312,Method:tensorf-ds,paper_proposes_method,arxiv:2605.09312,llm,1.0
Method:tensorf-ds,Dataset:llff,method_uses_dataset,arxiv:2605.09312,llm,1.0
Paper:2606.02639,Method:aret,paper_proposes_method,arxiv:2606.02639,llm,1.0
Paper:2606.02639,Method:anatomy-regularized tensorf,paper_proposes_method,arxiv:2606.02639,llm,1.0
Paper:2605.30310,Method:city-mesh3r,paper_proposes_method,arxiv:2605.30310,llm,1.0
Paper:2605.29136,Method:eulerian gaussian splatting,paper_proposes_method,arxiv:2605.29136,llm,1.0
Method:eulerian gaussian splatting,Dataset:mip-nerf 360,method_uses_dataset,arxiv:2605.29136,llm,1.0
Paper:2605.28125,Method:clear-nerf,paper_proposes_method,arxiv:2605.28125,llm,1.0
Paper:2605.28125,Method:collinearity-enforcing ray sampling,paper_proposes_method,arxiv:2605.28125,llm,1.0
Paper:2605.28125,Method:depth-localized neighborhood point extraction,paper_proposes_method,arxiv:2605.28125,llm,1.0
Paper:2605.28125,Method:geometry-relevant color aggregation,paper_proposes_method,arxiv:2605.28125,llm,1.0
Paper:2605.07192,Method:asyncevgs,paper_proposes_method,arxiv:2605.07192,llm,1.0
Paper:2605.02784,Method:humansplathmr,paper_proposes_method,arxiv:2605.02784,llm,1.0
Paper:2605.02086,Method:geta-3dgs,paper_proposes_method,arxiv:2605.02086,llm,1.0
Method:geta-3dgs,Dataset:tanks and temples,method_uses_dataset,arxiv:2605.02086,llm,1.0
Method:geta-3dgs,Dataset:mip-nerf 360,method_uses_dataset,arxiv:2605.02086,llm,1.0
Paper:2605.00498,Method:gor-is,paper_proposes_method,arxiv:2605.00498,llm,1.0
Paper:2606.03877,Method:mlp-splatting,paper_proposes_method,arxiv:2606.03877,llm,1.0
Paper:2606.02346,Method:vedal,paper_proposes_method,arxiv:2606.02346,llm,1.0
Method:vedal,Dataset:mip-nerf 360,method_uses_dataset,arxiv:2606.02346,llm,0.99
Paper:2606.02068,Method:differentiable multiplane image,paper_proposes_method,arxiv:2606.02068,llm,0.95
Paper:2606.02068,Method:one-step diffusion,paper_proposes_method,arxiv:2606.02068,llm,0.99
Paper:2606.01315,Method:deblurnvs,paper_proposes_method,arxiv:2606.01315,llm,1.0
Paper:2604.05366,Method:3dturboquant,paper_proposes_method,arxiv:2604.05366,llm,1.0
Paper:2604.02836,Method:fact-hash,paper_proposes_method,arxiv:2604.02836,llm,1.0
Paper:2604.02120,Method:gemm-gs,paper_proposes_method,arxiv:2604.02120,llm,1.0
Paper:2603.28126,Method:svgs,paper_proposes_method,arxiv:2603.28126,llm,1.0
Paper:2603.28090,Method:nerp3d,paper_proposes_method,arxiv:2603.28090,llm,1.0
Method:nerp3d,Dataset:nuscenes,method_uses_dataset,arxiv:2603.28090,llm,1.0
Paper:2604.14928,Method:hybrid latents,paper_proposes_method,arxiv:2604.14928,llm,1.0
Paper:2604.14706,Method:ng-gs,paper_proposes_method,arxiv:2604.14706,llm,1.0
Paper:2604.14706,Method:nerf-guided 3d gaussian splatting segmentation,paper_proposes_method,arxiv:2604.14706,llm,1.0
Method:ng-gs,Dataset:scannet,method_uses_dataset,arxiv:2604.14706,llm,1.0
Paper:2604.13918,Method:partnerface,paper_proposes_method,arxiv:2604.13918,llm,1.0
Paper:2604.10951,Method:fast-segsim,paper_proposes_method,arxiv:2604.10951,llm,1.0
Paper:2604.10951,Method:precise tile intersection,paper_proposes_method,arxiv:2604.10951,llm,1.0
Paper:2604.10951,Method:top-k hard selection,paper_proposes_method,arxiv:2604.10951,llm,1.0
Paper:2604.16480,Method:centroid-based triangulation algorithm with mad outlier rejection,paper_proposes_method,arxiv:2604.16480,llm,1.0
Paper:2604.19127,Method:ot-uvgs,paper_proposes_method,arxiv:2604.19127,llm,1.0
Paper:2604.17831,Method:pcm-nerf,paper_proposes_method,arxiv:2604.17831,llm,1.0
Paper:2604.16747,Method:elastic energy regularization,paper_proposes_method,arxiv:2604.16747,llm,1.0
Paper:2604.16747,Method:eer,paper_proposes_method,arxiv:2604.16747,llm,1.0
Paper:2604.16747,Method:gad,paper_proposes_method,arxiv:2604.16747,llm,1.0
Paper:2604.16747,Method:ptdrop,paper_proposes_method,arxiv:2604.16747,llm,1.0
Paper:2604.16540,Method:poinit-of-view,paper_proposes_method,arxiv:2604.16540,llm,1.0
Paper:2603.19682,Method:self-constrained priors,paper_proposes_method,arxiv:2603.19682,llm,1.0
Paper:2603.18306,Method:prescan,paper_proposes_method,arxiv:2603.18306,llm,1.0
Paper:2603.17236,Method:neural radiance maps,paper_proposes_method,arxiv:2603.17236,llm,1.0
Paper:2603.15368,Method:iris,paper_proposes_method,arxiv:2603.15368,llm,1.0
Paper:2603.15368,Method:intersection-aware ray-based implicit editable scenes,paper_proposes_method,arxiv:2603.15368,llm,1.0
Paper:2603.14684,Method:event-to-edge gaussian splatting,paper_proposes_method,arxiv:2603.14684,llm,1.0
Paper:2603.12903,Method:sg-nlf,paper_proposes_method,arxiv:2603.12903,llm,1.0
Paper:2603.25008,Method:few tensorf,paper_proposes_method,arxiv:2603.25008,llm,1.0
Paper:2603.22851,Method:uniquer,paper_proposes_method,arxiv:2603.22851,llm,1.0
Method:uniquer,Dataset:mip-nerf 360,method_uses_dataset,arxiv:2603.22851,llm,1.0
Paper:2603.21931,Method:satgeo-nerf,paper_proposes_method,arxiv:2603.21931,llm,1.0
Paper:2603.21695,Method:refracgs,paper_proposes_method,arxiv:2603.21695,llm,1.0
Paper:2603.21356,Method:fluidgaussian,paper_proposes_method,arxiv:2603.21356,llm,1.0
Method:fluidgaussian,Dataset:mip-nerf 360,method_uses_dataset,arxiv:2603.21356,llm,0.99
Paper:2603.21332,Method:emotag,paper_proposes_method,arxiv:2603.21332,llm,1.0
Paper:2603.21332,Method:gated residual motion network (grmn),paper_proposes_method,arxiv:2603.21332,llm,1.0
Paper:2603.20611,Method:gaussianpile,paper_proposes_method,arxiv:2603.20611,llm,1.0
Paper:2603.20128,Method:generalizable ngp-sr,paper_proposes_method,arxiv:2603.20128,llm,1.0
Paper:2603.02801,Method:r3gw,paper_proposes_method,arxiv:2603.02801,llm,1.0
Paper:2603.02582,Method:nemf,paper_proposes_method,arxiv:2603.02582,llm,1.0
Paper:2603.01850,Method:tiny-dronerf,paper_proposes_method,arxiv:2603.01850,llm,1.0
Paper:2602.24096,Method:diffusionharmonizer,paper_proposes_method,arxiv:2602.24096,llm,1.0
Paper:2602.23574,Method:evidential neural radiance fields,paper_proposes_method,arxiv:2602.23574,llm,1.0
Paper:2603.08133,Method:fled-gs,paper_proposes_method,arxiv:2603.08133,llm,1.0
Paper:2603.06956,Method:virtual intraoperative ct,paper_proposes_method,arxiv:2603.06956,llm,1.0
Paper:2603.06956,Method:vict,paper_proposes_method,arxiv:2603.06956,llm,1.0
Paper:2603.05932,Method:ftsplat,paper_proposes_method,arxiv:2603.05932,llm,1.0
Paper:2603.04847,Method:glosplat,paper_proposes_method,arxiv:2603.04847,llm,1.0
Paper:2603.04847,Method:glosplat-f,paper_proposes_method,arxiv:2603.04847,llm,1.0
Paper:2603.04847,Method:glosplat-a,paper_proposes_method,arxiv:2603.04847,llm,1.0
Paper:2603.02986,Method:virgi,paper_proposes_method,arxiv:2603.02986,llm,1.0
Paper:2603.12766,Method:catalyst4d,paper_proposes_method,arxiv:2603.12766,llm,1.0
Paper:2603.12766,Method:anchor-based motion guidance,paper_proposes_method,arxiv:2603.12766,llm,1.0
Paper:2603.12766,Method:amg,paper_proposes_method,arxiv:2603.12766,llm,1.0
Paper:2603.12766,Method:color uncertainty-guided appearance refinement,paper_proposes_method,arxiv:2603.12766,llm,1.0
Paper:2603.12766,Method:cuar,paper_proposes_method,arxiv:2603.12766,llm,1.0
Paper:2603.12078,Method:node-rf,paper_proposes_method,arxiv:2603.12078,llm,1.0
